dataset_id,sample_id,src_idx,dst_idx,src_cell_id,dst_cell_id,ligand,receptor,pathway,mechanism,distance_px,coexpr,causal_score,strength,score
simulation_data,sample3,473,1316,474,1317,LIG06,REC06,Synthetic,Secreted Signaling,55.081756591796875,2.2742671966552734,0.5,0.8950350284576416,1.0
simulation_data,sample3,446,1316,447,1317,LIG06,REC06,Synthetic,Secreted Signaling,51.244510650634766,3.6166694164276123,0.5,0.8945825099945068,0.9997532963752747
simulation_data,sample3,230,1316,231,1317,LIG06,REC06,Synthetic,Secreted Signaling,48.764739990234375,3.8005259037017822,0.5,0.8944994211196899,0.9997079372406006
simulation_data,sample3,49,954,50,955,LIG05,REC05,Synthetic,Secreted Signaling,53.851646423339844,3.159940719604492,0.5,0.8385425806045532,0.9692025780677795
simulation_data,sample3,563,954,564,955,LIG05,REC05,Synthetic,Secreted Signaling,56.080299377441406,2.507922649383545,0.5,0.8383216261863708,0.9690821766853333
simulation_data,sample3,154,954,155,955,LIG05,REC05,Synthetic,Secreted Signaling,51.54609680175781,3.159940719604492,0.5,0.8380852937698364,0.9689533114433289
simulation_data,sample3,324,954,325,955,LIG05,REC05,Synthetic,Secreted Signaling,52.801513671875,2.285675525665283,0.5,0.8374226689338684,0.96859210729599
simulation_data,sample3,353,795,354,796,LIG05,REC05,Synthetic,Secreted Signaling,51.62363815307617,3.441707134246826,0.5,0.8373156785964966,0.9685337543487549
simulation_data,sample3,396,795,397,796,LIG05,REC05,Synthetic,Secreted Signaling,50.6063232421875,3.159940719604492,0.5,0.8366200923919678,0.9681546092033386
simulation_data,sample3,253,954,254,955,LIG05,REC05,Synthetic,Secreted Signaling,52.009613037109375,1.6445072889328003,0.5,0.836406409740448,0.9680380821228027
simulation_data,sample3,317,954,318,955,LIG05,REC05,Synthetic,Secreted Signaling,42.01190185546875,3.3205792903900146,0.5,0.8361998796463013,0.9679254293441772
simulation_data,sample3,28,795,29,796,LIG05,REC05,Synthetic,Secreted Signaling,50.15974426269531,2.7315495014190674,0.5,0.8358416557312012,0.9677302241325378
simulation_data,sample3,326,954,327,955,LIG05,REC05,Synthetic,Secreted Signaling,44.72135925292969,1.987062931060791,0.5,0.8353285789489746,0.9674504995346069
simulation_data,sample3,418,954,419,955,LIG05,REC05,Synthetic,Secreted Signaling,37.656341552734375,3.159940719604492,0.5,0.8350343704223633,0.9672901630401611
simulation_data,sample3,415,954,416,955,LIG05,REC05,Synthetic,Secreted Signaling,36.12478256225586,2.285675525665283,0.5,0.8336933851242065,0.9665589928627014
simulation_data,sample3,98,954,99,955,LIG05,REC05,Synthetic,Secreted Signaling,28.017850875854492,3.3205792903900146,0.5,0.8327391743659973,0.9660388827323914
simulation_data,sample3,341,954,342,955,LIG05,REC05,Synthetic,Secreted Signaling,32.69556427001953,1.6445072889328003,0.5,0.8319066762924194,0.9655849933624268
simulation_data,sample3,230,795,231,796,LIG05,REC05,Synthetic,Secreted Signaling,34.36568069458008,2.7315495014190674,0.5,0.8305177688598633,0.9648278951644897
simulation_data,sample3,446,795,447,796,LIG05,REC05,Synthetic,Secreted Signaling,38.11823654174805,1.7911450862884521,0.5,0.8300991058349609,0.964599609375
simulation_data,sample3,504,913,505,914,LIG06,REC06,Synthetic,Secreted Signaling,59.203041076660156,1.8821995258331299,0.5,0.8272122144699097,0.9630257487297058
simulation_data,sample3,73,913,74,914,LIG06,REC06,Synthetic,Secreted Signaling,56.82429122924805,2.6160402297973633,0.5,0.8269803524017334,0.9628994464874268
simulation_data,sample3,329,913,330,914,LIG06,REC06,Synthetic,Secreted Signaling,53.25410842895508,2.6160402297973633,0.5,0.8264827132225037,0.9626280665397644
simulation_data,sample3,110,913,111,914,LIG06,REC06,Synthetic,Secreted Signaling,51.195701599121094,3.6166694164276123,0.5,0.8262884616851807,0.9625222086906433
