dataset_id,sample_id,src_idx,dst_idx,src_cell_id,dst_cell_id,ligand,receptor,pathway,mechanism,distance_px,coexpr,causal_score,strength,score
simulation_data,sample0,427,1305,428,1306,LIG10,REC10,Synthetic,Secreted Signaling,55.03635025024414,1.3030774593353271,0.9971199035644531,0.9529796838760376,1.0
simulation_data,sample0,427,672,428,673,LIG10,REC10,Synthetic,Secreted Signaling,52.46903991699219,1.435034155845642,0.7743630409240723,0.934272289276123,0.9899216890335083
simulation_data,sample0,116,672,117,673,LIG10,REC10,Synthetic,Secreted Signaling,55.973209381103516,1.2165851593017578,0.7743630409240723,0.934013843536377,0.989782452583313
simulation_data,sample0,5,706,6,707,LIG06,REC06,Synthetic,Secreted Signaling,50.2493782043457,1.3030774593353271,0.9516798853874207,0.9297601580619812,0.9874908328056335
simulation_data,sample0,547,706,548,707,LIG06,REC06,Synthetic,Secreted Signaling,48.10405349731445,1.1745333671569824,0.9516798853874207,0.9297497868537903,0.9874852895736694
simulation_data,sample0,389,706,390,707,LIG06,REC06,Synthetic,Secreted Signaling,54.34151077270508,1.062572717666626,0.9516798853874207,0.9295821189880371,0.9873949289321899
simulation_data,sample0,526,706,527,707,LIG06,REC06,Synthetic,Secreted Signaling,58.13776779174805,1.003132939338684,0.9516798853874207,0.9294888973236084,0.9873447418212891
simulation_data,sample0,5,1024,6,1025,LIG10,REC10,Synthetic,Secreted Signaling,59.09314727783203,1.062572717666626,0.983873188495636,0.9269211888313293,0.9859614372253418
simulation_data,sample0,5,1401,6,1402,LIG10,REC10,Synthetic,Secreted Signaling,25.553865432739258,1.380290150642395,0.42781201004981995,0.9177427291870117,0.9810166358947754
simulation_data,sample0,389,1401,390,1402,LIG10,REC10,Synthetic,Secreted Signaling,32.015621185302734,1.5257278680801392,0.42781201004981995,0.9174970388412476,0.980884313583374
simulation_data,sample0,526,1401,527,1402,LIG10,REC10,Synthetic,Secreted Signaling,30.265491485595703,1.350404977798462,0.42781201004981995,0.9174886345863342,0.9808797836303711
simulation_data,sample0,251,1401,252,1402,LIG10,REC10,Synthetic,Secreted Signaling,40.607879638671875,1.6927076578140259,0.42781201004981995,0.9171754121780396,0.980711042881012
simulation_data,sample0,139,1401,140,1402,LIG10,REC10,Synthetic,Secreted Signaling,39.357337951660156,1.5257278680801392,0.42781201004981995,0.9171485900878906,0.9806965589523315
simulation_data,sample0,162,1401,163,1402,LIG10,REC10,Synthetic,Secreted Signaling,38.832977294921875,1.435034155845642,0.42781201004981995,0.91712486743927,0.9806838035583496
simulation_data,sample0,116,1076,117,1077,LIG10,REC10,Synthetic,Secreted Signaling,52.47856521606445,1.2934730052947998,0.8338322639465332,0.9169750213623047,0.980603039264679
simulation_data,sample0,547,1401,548,1402,LIG10,REC10,Synthetic,Secreted Signaling,43.28972244262695,1.380290150642395,0.42781201004981995,0.9168921709060669,0.980558454990387
simulation_data,sample0,427,1076,428,1077,LIG10,REC10,Synthetic,Secreted Signaling,58.13776779174805,1.5257278680801392,0.8338322639465332,0.9167935848236084,0.9805053472518921
